❯ k get servicemonitors -A
NAMESPACE    NAME                             AGE
monitoring   alertmanager-main                3y99d
monitoring   argocd-metrics                   3y99d
monitoring   argocd-repo-server-metrics       3y99d
monitoring   argocd-server-metrics            3y99d
monitoring   coredns                          3y99d
monitoring   kafka-connect                    458d
monitoring   kafka-connect-na-stg-latest      2y66d
monitoring   karpenter                        469d
monitoring   kube-apiserver                   3y99d
monitoring   kube-controller-manager          3y99d
monitoring   kube-cost-na-stg-cost-analyzer   2y190d
monitoring   kube-scheduler                   3y99d
monitoring   kube-state-metrics               3y99d
monitoring   kubecost                         297d
monitoring   kubelet                          3y99d
monitoring   node-exporter                    3y99d
monitoring   opencost-servicemonitor          2y355d
monitoring   prometheus-adapter               3y99d
monitoring   prometheus-k8s                   3y99d
monitoring   prometheus-operator              3y99d
monitoring   prometheus-statsd-exporter       285d
monitoring   spot-price-exporter              2y180d
monitoring   thanos-query                     2y52d
monitoring   thanos-rule                      297d
monitoring   thanos-store                     2y52d
